temperature(C),wind speed(m/s),wind direction,humidity(%),vapor pressure(hPa),dew point(C),atmospheric pressure(hPa),Sea level pressure(hPa),insolation time(hr),insolation(MJ/m2),cloud,weather label
10.5,0.2,0,96,12.1,9.8,1005.2,1025.2,,,2,0
4.3,4.6,270,48,4,-5.7,1016.3,1022.8,1,2.53,3,4
26.5,1.3,110,90,31.1,24.7,997.2,1012.8,,,6,3
-1.5,0.1,0,84,4.6,-3.8,998.3,1020.2,,,8,3
26.3,2.1,290,72,24.6,20.8,977.2,992.9,0.6,1.76,8,3
26.6,1.3,50,86,29.8,24,1007.9,1008.3,0.1,1.15,10,1
11.8,10.9,160,91,12.5,10.3,999.3,1008.3,,,7,2
11.9,4.4,270,16,2.2,-13.1,997.2,1006.9,1,1.47,1,2
19.4,1.8,230,89,20,17.5,1002.2,1005.4,,,8,2
15.7,0.6,160,92,16.3,14.3,1003.7,1021.5,,,0,0
7.9,4.2,230,51,5.4,-1.6,971.8,1020.7,1,,3,0
8.2,1,20,82,8.9,5.3,1000,1003.3,,,0,0
23.2,0.9,160,93,26.3,21.9,999.2,1003.3,0.8,0.25,0,2
-1.1,1.4,270,32,1.8,-15.7,1023.8,1026.1,,,0,0
23.5,5.6,230,96,27.7,22.8,1002.9,1010.5,0,0.42,10,2
6.5,0.4,0,64,6.2,0.1,1007.3,1017.2,,,0,0
12.1,2.8,110,94,13.2,11.1,1002.1,1008.6,0,0.25,10,1
16.3,4.2,290,88,16.3,14.3,994.8,1000.9,0,0.23,9,3
27.4,4.4,250,88,32.1,25.2,999.7,1007.1,0,1.29,8,1
15.7,1.1,320,45,8,3.7,1008.1,1019.6,0.9,1.34,3,0
12.8,2.1,110,81,11.9,9.6,993.7,1000.9,0,0,10,1
5.4,1.5,270,64,5.8,-0.8,1006.8,1018.7,,,0,0
17.9,1.3,230,44,9,5.4,997.6,1005.5,0.5,1.4,5,0
17.8,7.4,250,33,6.7,1.2,1010.9,1018.7,1,1.82,0,0
4.7,0.7,340,90,7.6,3.1,1014.5,1018.9,,,8,2
11.5,1.1,360,93,12.6,10.4,1012.7,1018.5,,,0,0
26.8,2.6,50,48,16.8,14.8,999.2,1007.8,0,0.87,10,3
6.4,2.8,50,61,5.9,-0.5,1009.2,1019.2,0,0.22,9,2
8.5,0.5,20,58,6.4,0.6,1016.2,1021.8,0,,10,3
7,0.5,250,89,8.9,5.3,1008.8,1017.4,,,10,1
-1.1,0.5,90,91,5.2,-2.3,1021.8,1025.7,,,0,0
15.1,0.4,0,78,13.3,11.2,992.8,1013,,,0,0
9.2,2.9,70,70,8.1,4,1020.6,1021.1,0,0.06,2,0
-3.3,2.1,50,53,2.5,-11.5,1019.5,1023.5,,,0,0
16.3,0.4,0,100,18.4,16.2,996.4,1021,,,3,0
25.7,1.9,180,19,6.2,0.3,1001.4,1009.1,1,3.03,0,0
1.3,0.4,0,89,6,-0.3,997.8,1028.8,,,0,0
17.1,1.8,180,65,12.6,10.4,1023.7,1026.2,0,0.5,10,3
12.1,0.8,180,95,13.4,11.3,1005,1010.4,,,2,2
24.8,0.4,0,99,30.9,24.6,1010.9,1015.9,,,0,0
8.8,1.5,290,61,6.9,1.6,1006.9,1018.7,,,5,0
3.1,3.8,20,37,2.8,-10.2,1019.8,1021.6,0,0.82,9,3
24.2,1.4,110,87,26.1,21.8,1005.4,1010.5,,,7,3
15.2,1.8,180,65,11.2,8.6,1008,1008.4,0,0.18,5,0
11.5,5.6,250,65,8.8,5.1,1008.4,1016.4,1,0.83,2,0
3.7,2.1,160,80,6.3,0.5,1012.9,1018.5,0,0.02,7,2
19,1.9,250,80,17.5,15.4,1005.5,1006,0,0.29,9,2
20.5,2.3,320,34,8.1,4,998,1009.1,,,0,0
19.6,1.5,250,78,17.7,15.6,1004.7,1014.7,,,8,2
7.1,3.1,320,52,5.2,-2.1,1019.7,1022.3,0,1.02,9,3
12.9,6.3,340,49,7.3,2.4,1014.6,1020.9,0.7,1.8,3,0
2.7,1,70,97,7.2,2.2,1012,1029.6,0,,5,0
15.2,0.8,20,85,14.6,12.6,1018.2,1026.5,,,0,0
11.1,1.5,200,74,9.7,6.6,1001.9,1010.2,,,10,1
33.3,2.1,320,38,19.4,17,991.9,1000.8,1,,6,3
5.2,7.6,320,84,7.4,2.7,1013.3,1018.9,,,10,1
27.6,0.5,180,84,30.9,24.6,1006.3,1012.1,,,2,0
-6,1.1,250,67,2.6,-11.1,1019.5,1027.2,,,5,4
5.7,0.5,50,95,8.7,4.9,1006.3,1023.7,,,8,3
4.4,10.7,290,53,4.4,-4.3,1006.6,1014.8,0.8,2.77,6,4
21.1,0.4,0,93,23.2,19.9,1007.2,1011.5,0.4,0.1,1,0
11.1,2.1,200,87,11.5,9,1000.8,1004.8,,,0,0
2.9,5,290,42,3.2,-8.7,1012.9,1022.3,1,1.31,4,0
5.7,1.6,290,92,8.4,4.4,1008.8,1017.5,0,0.07,10,2
5.1,2.9,340,37,3.2,-8.4,1007.7,1017.7,,,9,2
-5.5,1.9,20,65,2.6,-11,1017.9,1025.6,,,10,3
-2.2,1.1,250,79,4.1,-5.3,1015.3,1026.3,0.7,0.26,0,2
9.7,1.6,20,84,10.1,7.1,1015,1025.5,,,0,2
23.2,2,50,92,26.1,21.8,1004.4,1013.7,,,9,2
3.7,2.1,20,67,5.4,-1.8,1019.2,1022.7,0,,7,3
24.6,0.4,0,79,24.4,20.7,992.1,1011.8,0,,9,3
24.4,0.7,320,94,28.6,23.3,1009.3,1011.6,,,0,0
21.5,2.1,340,92,23.5,20.1,1005.2,1013.2,,,0,0
24.4,4.4,320,89,27.1,22.4,1003.5,1007.6,0.5,2.46,10,2
19,0.7,290,58,12.7,10.5,1006.9,1010.5,0,0.08,2,0
6.5,2.1,270,84,8.1,3.9,998.7,999.2,,,10,1
-2.8,2.8,20,51,2.5,-11.5,1023,1027,,,5,0
25.9,1.6,20,98,32.6,25.5,1001.9,1007,,,0,2
15,3.7,110,33,5.6,-1.1,1016.7,1020,1,1.39,0,0
2,1.9,180,49,3.5,-7.6,1010.3,1019.7,,,0,0
27.3,1.8,110,75,27.1,22.4,991.3,991.6,0.3,0.6,6,1
-1.1,0.4,0,97,5.5,-1.5,1009.2,1021.4,,,10,4
16.2,2.9,340,40,7.3,2.5,1008.7,1013.1,1,3.15,0,0
13.4,0.2,0,88,13.5,11.4,1010.5,1012,,,0,0
18,2.4,200,82,16.8,14.8,991.9,1003,0,0,10,1
12.6,1.4,20,87,12.6,10.4,1017.9,1023.3,,,0,2
16.3,4.1,250,70,12.9,10.8,1001.6,1007.7,1,1.87,3,0
33.8,3,110,46,24.1,20.5,1005.7,1008.8,1,3.29,2,0
25.9,0.8,90,85,28.3,23.1,997.3,1005.2,0,0.08,9,2
25.9,4.2,180,96,32.1,25.2,1006.8,1015.4,,,2,2
7.3,0.2,0,68,6.9,1.7,1026.9,1028.9,,,0,0
22,2.8,50,95,25,21.1,996.6,1004.4,0,0,10,1
18,0.7,90,52,10.6,7.9,1010.9,1016.5,0.6,,7,3
25,1.9,140,92,29.1,23.6,1000.3,1005.4,,,10,3
19.7,2,110,97,22.2,19.2,990.9,995,0,1.5,10,2
,0.6,70,85,,,1019.1,,,,5,0
7,2.5,50,82,8.2,4.1,1015,1025,0,0.57,10,1
4.6,2.2,140,57,4.8,-3.2,994.4,1020.4,1,,0,0
17.9,3.7,230,53,10.8,8.1,989.9,999.8,0.6,0.97,7,2
22.5,0.6,140,70,19,16.7,1009.8,1021,0.4,1.95,8,3
-15.6,0.1,0,73,1.3,-19.3,987.5,1030.7,,,10,3
6.6,1.7,270,75,7.3,2.4,1008,1015.2,0,0.02,8,1
1,0.7,250,77,5.1,-2.5,1016.3,1022,,,10,1
10.9,5.4,290,46,6,-0.2,1008.9,1018.7,1,1.68,2,2
22.6,2.9,50,86,23.5,20.1,1014.4,1014.7,0,0.5,10,1
29.2,1.2,250,69,27.9,22.9,1004.8,1010.3,,,5,0
11.6,6.8,340,72,9.8,6.7,1009.7,1017.7,,,0,2
28.9,4.5,250,81,32.2,25.3,1000.9,1003.2,,,8,1
25.2,1,290,95,30.4,24.3,985.2,1001.1,0,0,10,1
6,3.1,290,61,5.7,-0.9,1026.6,1031.6,1,1.17,0,0
7.8,1.3,180,33,3.5,-7.5,1015.7,1025.6,1,,0,0
21.2,1.1,110,69,17.3,15.2,1008.3,1008.6,0,0.13,10,1
2.9,0.7,320,39,2.9,-9.7,1018.3,1025.2,,,9,3
14.9,2.3,340,92,15.6,13.6,1003.4,1021.9,,,0,0
5.8,5,270,60,5.6,-1.3,1018.5,1027.4,,,9,3
9.5,1.6,250,53,6.2,0.3,1004.2,1012.7,0,0.78,0,2
8.8,0.7,250,71,8,3.8,1013,1018.6,0,,0,0
20.5,7.6,250,38,9.1,5.6,1007.6,1010,1,2.04,0,0
2.4,5.2,360,62,4.5,-4.1,1024.7,1025.9,0.9,,6,3
4,2.6,270,80,6.5,0.8,1025.7,1025.9,,,0,0
18.2,3.2,50,93,19.4,17,997.1,1007.1,,,8,1
30.5,1.3,250,70,30.4,24.3,993,1000.5,0,0.61,10,3
11.5,4.8,290,69,9.3,6,1012.9,1020.2,0.2,0.63,6,2
24.9,2.3,230,96,30.2,24.2,1006.4,1014,,,10,2
13.5,1.1,250,90,13.8,11.8,1002.9,1007.1,,,4,2
12.5,2.9,50,66,9.5,6.3,1020.9,1027.2,,,8,1
19.1,7.9,250,43,9.5,6.2,995.7,1003.3,1,1.6,0,0
21.3,3.3,320,17,4.3,-4.7,982.6,1010.9,1,,0,0
0.2,1.8,20,39,2.4,-12.1,1012.5,1022.8,,,5,0
17.4,3.3,270,66,13,10.9,1004.1,1010.2,1,2.48,3,0
7.6,3.6,250,64,6.7,1.2,1015.5,1024.8,0,0.01,9,3
-4.1,4.7,340,44,2,-14.5,1020.1,1024.8,,,0,0
11.6,0.9,20,66,9,5.4,1013.3,1019.6,,,10,3
17.4,0.6,270,60,11.9,9.5,1011.1,1012.1,0.2,0.89,9,3
25.7,2.6,180,92,30.2,24.2,1002.6,1006.7,0,0.02,1,2
20.1,0.9,200,79,18.5,16.3,997.8,1005.9,0,0.33,10,1
21.7,0,0,96,24.9,21,999.1,1002.2,,,0,0
27.3,2.1,160,88,31.9,25.1,998,1006.5,0.7,1.57,10,2
11.5,0.4,0,81,10.9,8.3,993.7,1003.4,,,0,2
21.9,7.3,20,85,22.2,19.2,1003.5,1012.2,0,0.28,9,3
23.3,0.2,0,96,27.4,22.6,1012.4,1015.8,0,0.05,10,3
23.3,0.1,0,97,27.6,22.7,996.8,1006.1,,,0,0
2.5,0.7,320,92,6.7,1.3,1006.8,1018,,,9,3
21.5,1.9,70,96,24.6,20.8,999.3,1005.5,,,10,2
26,0.3,0,93,31.1,24.7,1002.4,1005.7,0,0.09,7,3
11,1.3,320,95,12.4,10.2,1005.7,1010.5,,,6,3
28.4,1.3,250,54,20.8,18.1,1009.6,1015,1,,5,0
25.2,0.2,0,85,27.1,22.4,987.7,1003.5,,,10,3
31.7,2.7,160,40,18.6,16.4,966,1001.3,1,,4,0
22.2,2.1,20,95,25.3,21.3,1001.2,1010.5,,,6,2
23.9,2,50,79,23.4,20,1011.1,1014.3,0,0.09,10,1
7.3,0.4,0,82,8.4,4.4,1011.8,1012.8,,,8,3
6.4,0.8,290,86,8.2,4.2,1015.6,1021.7,,,10,3
25.2,1.8,110,57,18.2,16,1006.3,1011.4,,,1,0
13.8,0.3,0,85,13.4,11.3,1005.8,1010.6,,,0,0
11.1,4.2,320,70,9.2,5.8,1004.1,1008.4,1,3.21,0,2
17.1,2.7,270,53,10.3,7.4,1004.2,1014.8,0.9,2.6,0,0
-2.1,0.1,0,84,4.4,-4.4,1003.9,1021.7,,,9,3
27.1,2.1,140,64,22.8,19.6,1008.7,1012.9,0.8,1.75,8,3
18.5,0.3,0,94,20,17.5,1006,1015.5,0,0.01,9,3
29.2,0.4,0,65,26.3,21.9,1003.7,1009.4,0,0.41,10,3
27.5,0.9,230,77,28.1,23,1005.4,1011.3,,,7,3
-3.4,1,270,88,4.2,-5.1,1022.5,1027.7,,,0,2
25.9,0.5,290,76,25.3,21.3,994.2,1000.8,0,0.14,10,1
12.8,3.5,140,97,14.3,12.3,1013.4,1017.7,0,0.42,10,2
25,0,0,96,30.4,24.3,999.6,1010.5,0,0,4,2
26.2,0,0,96,32.6,25.5,1007.7,1015.2,0.1,0.93,9,1
15.9,0.4,0,74,13.3,11.2,1001.9,1010.2,,,7,1
15.2,1,90,95,16.3,14.3,1009.4,1014.1,0,0.03,0,2
8.8,9.1,320,58,6.5,0.9,1016.2,1018.8,,,10,1
24.6,1.1,320,73,22.5,19.4,1003,1009.7,0,0.66,10,2
25.8,2.9,200,92,30.4,24.3,1004.6,1008.7,,,5,2
18.1,10.3,230,85,17.6,15.5,1000.6,1008.7,0,0.42,10,1
-13.7,0.5,270,81,1.7,-16.2,996.8,1028.7,,,10,3
28.4,0.3,0,67,25.8,21.6,1006.1,1009.4,1,1.86,2,0
23.9,0.8,200,91,26.9,22.3,1003.2,1008.6,,,7,3
21.2,0,0,100,25,21.1,975.9,1012.9,,,9,3
11.3,4.9,340,76,10.2,7.2,1006,1015.1,1,1.52,0,2
-1.2,0.1,0,87,4.9,-3,1023.9,1027.8,,,3,0
11.8,2.1,70,90,12.4,10.2,1006.7,1010,,,0,2
26.5,0.6,200,88,30.4,24.3,997.4,1002,,,0,0
5.1,2.3,110,35,3.1,-9.1,1017.7,1022.1,1,2.07,0,0
27.6,1.4,360,79,29.1,23.6,1008.6,1016.4,0,1.09,10,3
19.6,4,50,59,13.4,11.3,1008.4,1010.8,0.9,2.63,7,3
24.8,3.7,200,33,10.3,7.4,993.3,1001.2,1,2.72,0,2
30.1,2.7,230,69,29.3,23.7,986.6,1013.3,0.4,1.89,8,3
18.2,3.2,140,50,10.4,7.5,980.9,1005,0.7,1.4,7,3
8,0.3,0,100,10.6,7.9,997,1029.4,,,5,0
7.8,0,0,85,9,5.4,1016.6,1020,,,10,2
13,1.3,200,100,14.9,12.9,1022.9,1027.8,,,0,0
-1,0,0,92,5.2,-2.1,1020.2,1024,,,0,0
7.8,1.9,70,66,7,1.8,1015,1025,,,9,3
-5.3,0.8,200,77,3.2,-8.7,1010.8,1025.7,,,10,3
4.9,2.6,320,15,1.3,-19.6,1024.8,1025.6,0.5,0.35,6,3
-2.6,0.3,0,66,3.3,-8,992.6,1020.6,,,8,4
8.8,0.7,180,78,8.8,5.1,1012.8,1018.6,,,4,0
2,0.5,20,75,5.3,-1.9,1013,1020.6,,,10,1
25.6,3.4,180,94,30.7,24.5,1007.5,1012.6,0.2,0.27,0,2
18.1,2.8,160,89,18.4,16.2,1000.1,1008.9,0.1,1.6,9,2
20.7,1.1,360,61,14.9,12.9,1019.6,1023.1,0.9,1.01,4,0
6.2,0.4,0,99,9.3,6,1007.2,1026,,,0,0
24.3,3.6,140,60,18.2,16,1011.6,1019.4,0.2,1.39,8,3
-2.2,0.8,90,75,3.9,-6,1029.4,1031,,,2,0
16.7,2.5,250,42,8,3.7,990.4,1006.8,0.7,,0,0
-0.4,2.7,250,73,4.3,-4.6,1017.2,1023.4,,,0,0
1.8,9,290,93,6.4,0.7,978.3,1005.4,,,10,4
3.5,1.9,140,57,4.5,-4.2,1017.1,1024.7,0,0.15,9,3
16.7,2.5,20,97,18.4,16.2,1011.8,1016.6,0,,10,3
26.6,0.7,250,98,34,26.2,1004.3,1009.4,0,0.25,10,1
3.4,3.2,270,79,6.1,0,991.6,1018.9,0,0.04,8,4
19.8,2,230,62,14.3,12.3,992.8,1020.8,1,1.59,7,3
13.8,1.3,320,85,13.4,11.3,1009,1011.1,,,10,3
17.4,2.2,50,85,16.8,14.8,999,999.5,,,10,1
2.7,1.5,50,88,6.5,0.9,1016.6,1021.6,,,10,1
-6.1,0.9,360,83,3.2,-8.5,1015.2,1024.3,,,1,4
1.5,0.3,0,99,6.7,1.3,1013.2,1023.5,,,0,0
-2.5,1,20,74,3.8,-6.5,1020.6,1026.8,,,3,0
24.2,0.1,0,90,27.1,22.4,976.8,1003.8,,,8,3
-1.6,1.1,360,70,3.8,-6.3,1021.6,1023.4,,,0,0
17.7,1.3,90,78,15.8,13.8,1017.3,1020.9,0,0.07,9,3
22.9,4,110,90,25,21.1,998.5,1006.5,0,0.08,10,1
8.3,1.2,290,64,7,1.8,1006,1013.2,,,0,2
-1.7,0.5,290,81,4.4,-4.5,986.2,1027.1,,,6,3
-2.7,0,0,54,2.7,-10.7,1007.2,1025.1,,,0,0
-9.5,2.4,20,80,2.4,-12.3,1018.8,1027.8,,,5,4
24.2,0.5,90,80,24.1,20.5,998.7,1005.4,,,10,3
8.8,6,70,70,7.9,3.6,1021.5,1022,0,0.04,10,1
22.3,6.2,180,98,26.3,21.9,1005.2,1013.9,0,0.42,10,2
26.6,2.1,140,52,18.1,15.9,1002.4,1008,0.6,2.29,6,3
2.7,0.2,0,80,5.9,-0.4,1014.1,1028.7,,,0,0
15,3.5,110,56,9.5,6.2,1002,1004.1,1,1.53,8,3
8.5,0.1,0,96,10.6,7.8,1006,1026.2,0.5,,6,3
-8.9,0.3,0,86,2.7,-10.8,1026.2,1029.9,0,,9,3
6.6,2,250,35,3.4,-7.8,994.8,1024.8,1,0.31,0,0
24.9,1.7,320,92,28.9,23.5,982.3,1009.4,0,0.41,10,3
16.1,0.7,270,99,18.1,15.9,989.4,1017.7,,,4,0
27.6,1.7,180,72,26.4,22,1009.9,1012.3,,,3,0
-7.8,0.7,20,59,2,-14.4,995.6,1027.6,,,10,3
-5.1,4.7,360,73,3.1,-9.1,1020.4,1025.1,0,0.39,10,4
-4,1.1,270,78,3.6,-7.2,1019.1,1026.7,,,10,4
8.8,2.2,270,72,8.1,4,993.5,996.7,0,,10,3
3.2,3.7,160,86,6.6,1,1012.2,1016.7,0.1,0.18,0,2
29.4,2.4,200,78,31.9,25.1,1003.5,1012,0.1,1.59,9,1
8.4,5.8,340,97,10.6,7.9,1009.1,1018.3,,,10,2
23.4,3.5,70,95,27.2,22.5,1015.7,1018.1,0,,10,3
18.2,1.2,70,68,14.1,12.1,1005,1010.9,,,10,3
32.3,0.3,0,53,25.5,21.4,1001.9,1003.4,1,,6,3
-4,0.4,0,79,3.6,-7.1,994.7,1026.2,,,0,0
12.4,4.7,140,81,11.6,9.2,999.1,1004.4,1,1.14,0,2
5.4,2.5,140,55,4.9,-2.9,1016.4,1020.9,1,1.02,5,0
17.6,7.9,180,90,18.1,15.9,1000.1,1008.9,0.3,0.13,7,3
14,1.1,140,89,14.2,12.2,1004,1007.5,0,0.05,10,3
27.4,0.1,0,65,23.7,20.2,1003.6,1008.2,,,8,3
-4.2,1.8,20,55,2.5,-11.9,1023.7,1025.3,,,10,3
12.2,1.5,290,29,4.1,-5.3,1016.3,1020,0,1.27,10,3
7,1,320,84,8.4,4.4,1015.1,1019.4,,,10,1
10.7,6.1,340,62,8,3.7,1018.2,1020.7,,,10,1
12,7.7,290,82,11.5,9,1010.3,1015.7,,,10,2
4,1,140,54,4.4,-4.4,1018.9,1026.3,0.5,1.4,8,3
13.1,0.6,70,93,13.9,11.9,1001.7,1018.6,,,0,2
10.2,0.9,320,75,9.3,5.9,1001.1,1010.2,0,0.43,9,3
15.1,0.9,250,67,11.5,9,1009.3,1011.2,0.1,,6,3
9.5,1.5,160,90,10.6,7.9,992.1,1010.7,,,0,0
25,0.7,320,88,27.7,22.8,992.3,1007,,,4,0
13.2,0.8,270,64,9.7,6.5,999.9,1005.2,,,0,0
-9.7,0.9,90,51,1.5,-17.9,1016.2,1031.5,,,0,0
5.9,0,0,82,7.6,3,1013.3,1022,0.1,0.14,0,2
21,1.3,250,53,13.1,11,993.2,1004.3,0.6,0.27,3,0
21.7,2.2,180,72,18.6,16.4,983.4,1013.7,1,,1,0
13.1,3.3,50,55,8.2,4.2,1013.8,1017.6,1,1.91,0,0
5,0.4,0,87,7.6,3,1007.4,1024.6,,,10,3
1.1,5.9,340,53,3.5,-7.4,1025.3,1028,,,9,4
23.3,0.7,110,92,26.3,21.9,1002.5,1009.4,,,10,1
18.3,2.3,140,87,18.2,16,1000.5,1008.2,0,0.78,10,2
26.2,0.1,0,91,30.9,24.6,1008,1008.3,,,9,2
0.7,0.6,200,79,5.1,-2.5,1019.2,1022.6,,,2,0
17.6,1.3,70,38,7.6,3,1018,1024.2,1,1.14,0,0
24.9,4,200,93,29.1,23.6,998.6,1001.7,,,10,1
13.1,0.8,200,36,5.4,-1.6,993.1,1018.3,0,,7,3
18.7,1.5,340,91,19.5,17.1,998.4,1009.6,0,0.81,10,1
14.1,0.2,0,98,15.7,13.7,1009.2,1020.7,,,3,2
-0.2,0.4,0,95,5.7,-0.9,984.6,1025.2,,,0,0
14.1,5.5,290,82,13.1,11,998.2,1006,0,0.23,10,1
22.4,0.2,0,98,26.4,22,976.9,1013.8,,,0,0
17.2,2.6,110,86,16.8,14.8,1000.5,1006.9,,,8,2
12.8,1.7,180,42,6.2,0.1,1013.6,1016.1,,,3,0
2.5,0.7,200,65,4.8,-3.4,1016.4,1024.9,0.8,0.82,7,2
23,10.2,340,81,22.7,19.5,1002.5,1011.1,0,0.48,10,1
10.7,0.3,0,60,7.7,3.2,1002.5,1006.5,,,10,3
-0.6,0,0,96,5.6,-1.1,1010.9,1019.5,,,10,2
26.7,1.6,230,93,32.4,25.4,1008.6,1012.1,,,7,3
-5.1,3.2,50,57,2.4,-12.3,1024.1,1030.9,0.7,0.38,0,0
13.7,3,200,49,7.6,3.1,1017.3,1023.6,1,1.74,6,3
15.5,1.6,20,19,3.3,-8,1013.2,1022.8,1,,2,0
24.5,1,180,98,30,24.1,997.7,1006.3,0,0.03,10,1
6.2,3.4,290,30,2.8,-10.1,1022.7,1023.2,1,1.52,0,0
18,2,360,85,17.5,15.4,1004.5,1009.8,0,,9,3
14.8,2.8,270,39,6.5,0.9,1000,1008,1,1.65,0,2
6.1,0.8,360,80,7.5,2.9,1013.2,1021.9,,,0,2
16.3,1,290,53,9.7,6.6,1020,1021.2,0.6,1.09,7,3
28.1,4.9,200,82,31.1,24.7,998.6,1007,0.3,0.39,4,1
33.4,2.2,140,57,29.3,23.7,999,1006.5,0.4,0.52,3,0
-10.1,0.6,320,68,1.9,-14.8,1007.1,1026.9,,,10,3
17.9,7.3,200,94,19.2,16.9,1007.3,1015.7,,,7,3
6.2,1.9,250,91,8.6,4.8,1015.6,1020.5,,,6,2
15,1.6,200,36,6.1,0,1000.7,1008.7,1,1.98,0,0
26.9,1.4,180,94,33.2,25.8,1002.8,1010.6,,,3,0
-2.6,2,110,77,3.9,-6,1019.3,1025.1,,,0,0
0.8,13.3,360,74,4.8,-3.3,1018.9,1028.5,0.2,0.82,9,4
4.9,2.2,50,38,3.3,-8.2,1022.4,1023.2,,,8,3
24.5,0.4,0,99,30.4,24.3,997.6,1013.4,,,0,0
3.9,2.4,320,45,3.6,-6.9,1017.7,1024.2,,,7,4
10.7,2.9,290,22,2.8,-10.2,1015.9,1019.3,1,1.56,3,0
32.5,3.4,230,59,28.8,23.4,1001,1009.4,0,0.34,7,3
22.4,3.9,160,80,21.6,18.7,1001.4,1010,0.9,2.89,10,2
-0.3,2.8,20,68,4.1,-5.4,1017.5,1026.5,,,8,4
31.5,2.4,90,63,28.9,23.5,1010.8,1011.2,1,3.01,6,3
14,0.8,180,74,11.8,9.4,1003.2,1019.2,0.8,,2,0
24,5.8,250,94,27.9,22.9,1009.7,1014.8,0,0.15,10,1
19.1,3.8,70,90,19.9,17.4,1013.6,1014,0,0.05,10,1
10.4,3.3,320,59,7.4,2.7,999.5,1015.1,,,0,0
6.2,2.8,290,74,7,1.9,997.4,1002.9,,,0,0
-4.3,0.6,90,55,2.4,-12,1011.4,1028.6,,,0,0
3.6,1.2,360,70,5.6,-1.3,1017.8,1022.2,,,7,3
33.1,1.3,230,58,29.3,23.7,1010.3,1014.5,0.7,2.71,7,3
24.5,4.5,70,81,24.9,21,1007.1,1009.5,0,0.12,10,1
10.1,3.4,250,63,7.7,3.3,1009.9,1013.3,1,0.89,0,2
21.5,2.1,340,94,24,20.4,1001.2,1009,0,0.67,10,1
14.6,1.5,20,38,6.3,0.4,1022.1,1028.4,1,2.59,0,0
22.4,2.1,50,69,18.6,16.4,1004.1,1004.6,0,1.32,9,2
11.1,3.5,290,76,10,7,1012.8,1020.1,,,5,2
20.9,0.4,0,89,22,19,963.2,1009.2,,,3,0
13.2,5.2,70,37,5.6,-1.1,1012.7,1020.6,0.8,1.89,8,3
27.1,1,320,63,22.5,19.4,993.4,1010.3,,,0,0
27.2,7.7,230,86,30.9,24.6,978.1,1002.7,0,0.04,9,3
12.7,1.7,180,90,13.1,11,1004.8,1010.2,,,0,2
21,1,50,61,15.1,13.1,983.5,1011.6,,,1,0
-3.7,1.7,270,21,1,-22.9,1016,1025,,,0,0
13.7,0.3,0,80,12.5,10.3,1020.9,1025.3,0.8,0.62,2,2
4.2,0.9,70,80,6.6,1,1011.8,1017.8,,,9,3
13.9,3,250,20,3.2,-8.7,996.4,1014.2,0.8,0.29,0,0
22,1.6,110,96,25.3,21.3,997.3,1007.1,,,10,1
10.1,1.2,250,58,7.1,2.1,1014.5,1020.8,0.1,0.16,6,3
4.1,0.8,70,71,5.8,-0.6,1004.3,1020.9,,,9,3
2,5.3,70,55,3.9,-6.1,989.3,1016.7,,,8,4
0.3,4.9,290,73,4.6,-3.9,990.5,1016.9,,,6,3
7.7,4.5,320,77,8.1,3.9,1009.8,1012.3,,,10,1
30.6,2.5,250,68,29.8,24,994.4,1003.9,0.5,2.55,9,3
22,0.9,110,98,25.8,21.6,1008.4,1016.3,,,10,1
9.3,2.4,180,56,6.5,0.9,1014.3,1024.3,0.3,1.05,6,3
-4.1,3.8,320,20,0.9,-23.7,1015.7,1022.7,,,0,0
26.4,1,160,93,31.9,25.1,1005.8,1011.8,,,0,0
26.7,2.2,250,85,29.7,23.9,1006.7,1014.2,,,0,0
4.2,10.9,340,70,5.8,-0.7,1018,1027.4,,,10,1
5.6,5,50,80,7.3,2.4,1012.1,1022.7,0,0.06,10,1
4,1.2,360,85,6.9,1.7,1014.2,1021,,,9,2
22.4,2.5,290,47,12.7,10.5,1015.3,1022.3,1,1.41,2,0
31,1.1,360,59,26.4,22,1000,1014.5,1,3.22,0,0
0.9,0.9,270,70,4.6,-3.9,1017.9,1022.2,,,2,0
14,5.2,360,40,6.3,0.5,1014.9,1021.2,1,1.31,2,0
6.2,1.9,140,72,6.8,1.5,1011.8,1017.3,0,0.22,10,3
13.9,1.8,250,76,12,9.7,993.1,1009.7,,,8,3
1.1,0.7,230,98,6.5,0.8,1014.4,1019.4,,,10,2
23.3,1,90,77,22,19,999.6,1009.7,0,0.77,10,3
-8.9,5.9,360,69,2.2,-13.5,1025.7,1030.5,,,10,4
30.8,2,320,71,31.5,24.9,1004.1,1005.5,0.2,,4,0
8.8,1.1,320,95,10.7,8,990.7,1030.2,,,9,3
23,0.6,200,88,24.6,20.8,977,1012.4,,,10,3
3.8,0.2,0,91,7.3,2.4,989,1019.4,,,10,3
10.4,1.9,180,88,11,8.4,1011,1014.4,,,0,2
21.6,1.6,230,92,23.7,20.2,990.5,995,0,0.4,10,1
12,1.2,50,75,10.4,7.6,1010.9,1017.4,,,0,0
13.6,0.4,0,68,10.5,7.7,993.6,1003.2,,,0,2
25.7,1.5,320,82,26.9,22.3,993.1,1009.1,,,9,3
21,1.2,230,98,24.3,20.6,1002.4,1010.3,0,0.23,10,1
-9.9,1.6,290,68,2,-14.7,1017.5,1027.5,,,0,0
14.5,2.6,290,18,3,-9.5,1003.2,1010.2,0,0,8,3
12.3,1.6,290,96,13.7,11.6,1014.2,1018.6,,,4,2
